|====================================================|
| Exam No | BEE Theory | Math Theory | Physics Theory|    BEE:    
|====================================================|      Max : 61
| 1401201 |    041     |     049     |      053      |      Min : 2                    
| 1401202 |    034     |     052     |      051      |      Avg : 45.86
| 1401203 |    057     |     066     |      065      |      Pass: 87
| 1401204 |    051     |     049     |      053      |      Fail: 46
| 1401205 |    048     |     065     |      065      |    MATHS:
| 1401206 |    043     |     050     |      034      |      Max : 66
| 1401207 |    042     |     051     |      040      |      Min : 0
| 1401208 |    039     |     040     |      041      |      Avg : 50.38
| 1401209 |    032     |     038     |      021      |      Pass: 92
| 1401210 |    018     |     038     |      035      |      Fail: 39
| 1401211 |    014     |     016     |      023      |    MATHS:
| 1401212 |    040     |     047     |      049      |      Max : 65
| 1401213 |    008     |     ABS     |      039      |      Min : 0
| 1401214 |    042     |     024     |      031      |      Avg : 49.24
| 1401215 |    032     |     036     |      034      |      Pass: 84
| 1401216 |    035     |     050     |      035      |      Fail: 48
| 1401217 |    042     |     054     |      045      |
| 1401218 |    054     |     055     |      060      |
| 1401219 |    039     |     049     |      045      |
| 1401220 |    050     |     058     |      038      |
| 1401221 |    048     |     061     |      051      |
| 1401222 |    037     |     047     |      037      |
| 1401223 |    016     |     030     |      023      |
| 1401224 |    038     |     062     |      056      |
| 1401225 |    048     |     059     |      050      |
| 1401226 |    049     |     064     |      056      |
| 1401227 |    055     |     064     |      064      |
| 1401228 |    040     |     054     |      035      |
| 1401229 |    041     |     052     |      042      |
| 1401230 |    032     |     047     |      030      |
| 1401231 |    037     |     037     |      024      |
| 1401232 |    032     |     047     |      057      |
| 1401233 |    014     |     016     |      000      |
| 1401234 |    032     |     030     |      015      |
| 1401235 |    032     |     044     |      036      |
| 1401237 |    028     |     033     |      019      |
| 1401238 |    044     |     051     |      048      |
| 1401239 |    012     |     022     |      025      |
| 1401240 |    035     |     048     |      045      |
| 1401242 |    025     |     035     |      046      |
| 1401243 |    032     |     030     |      036      |
| 1401244 |    032     |     037     |      036      |
| 1401245 |    010     |     022     |      007      |
| 1401246 |    045     |     055     |      058      |
| 1401247 |    006     |     018     |      000      |
| 1401248 |    047     |     041     |      047      |
| 1401249 |    002     |     015     |      017      |
| 1401250 |    043     |     054     |      055      |
| 1401251 |    039     |     047     |      045      |
| 1401252 |    038     |     038     |      039      |
| 1401253 |    045     |     054     |      043      |
| 1401254 |    034     |     038     |      018      |
| 1401255 |    054     |     042     |      052      |
| 1401256 |    023     |     046     |      002      |
| 1401257 |    021     |     030     |      010      |
| 1401258 |    052     |     046     |      048      |
